12b,T°C,RT/R25,R2,U2,R1
315,93.11936295049881,0.08343799955745893,834.9146891607454,0.3846698393984736,9999.999999999998
316,93.00614386171718,0.08372477321857703,837.7779132414623,0.38589463742739794,10000.0
317,92.89343309373699,0.08401154966661009,840.6403792054934,0.38711889817003053,10000.0
318,92.78123064655821,0.08429832890155806,843.5020870528386,0.3883426216263711,10000.0
319,92.66953652018086,0.08458511092342096,846.363036783498,0.38956580779642,10000.0
320,92.55835071460496,0.08487189573219878,849.2232283974713,0.3907884566801771,10000.0
321,92.44767322983047,0.08515868332789155,852.082661894759,0.39201056827764236,10000.0
322,92.33748313369881,0.08544548083779932,854.9415148594956,0.39323215698683917,10000.0
323,92.22765483325821,0.08573233102572254,857.8008527964898,0.3944533091959073,10000.0
324,92.11816739635006,0.08601924101896134,860.6608532898763,0.3956740393028701,10000.0
325,92.00902082297435,0.08630621081751566,863.521516339655,0.3968943473077275,10000.0
326,91.90021511313108,0.08659324042138551,866.3828419458262,0.3981142332104795,9999.999999999998
327,91.79175026682024,0.08688032983057088,869.2448301083896,0.3993336970111262,9999.999999999998
328,91.68362628404188,0.08716747904507183,872.1074808273457,0.40055273870966757,10000.0
329,91.57584316479593,0.0874546880648883,874.970794102694,0.40177135830610355,10000.0
330,91.46840090908242,0.08774195689002032,877.8347699344346,0.4029895558004342,10000.0
331,91.36129951690138,0.08802928552046786,880.6994083225676,0.4042073311926594,10000.0
332,91.25453898825278,0.08831667395623097,883.564709267093,0.40542468448277935,10000.0
333,91.14811932313661,0.08860412219730958,886.4306727680106,0.4066416156707939,10000.000000000002
334,91.0420405215529,0.08889163024370375,889.2972988253207,0.4078581247567031,10000.0
335,90.9363025835016,0.08917919809541344,892.1645874390227,0.4090742117405068,10000.0
336,90.83090550898275,0.08946682575243868,895.0325386091176,0.4102898766222053,10000.0
337,90.72584929799638,0.08975451321477948,897.9011523356047,0.41150511940179846,10000.0
338,90.62113395054243,0.0900422604824358,900.7704286184842,0.41271994007928614,10000.000000000002
339,90.51675946662093,0.09033006755540765,903.6403674577559,0.41393433865466855,10000.0
340,90.41272584623184,0.09061793443369504,906.5109688534201,0.4151483151279455,10000.0
341,90.30903308937522,0.09090586111729798,909.3822328054764,0.4163618694991172,10000.0
342,90.20568119605105,0.09119384760621646,912.2541593139254,0.41757500176818346,10000.0
343,90.10267016625932,0.09148189390045047,915.1267483787666,0.41878771193514447,10000.000000000002
344,90.0,0.09177,918.0,0.42,10000.0
345,89.89767069727316,0.09205816590486511,920.8739141776258,0.42121186596275023,10000.0
346,89.79568225807876,0.09234639161504575,923.7484909116444,0.42242330982339515,10000.0
347,89.6940346824168,0.09263467713054192,926.6237302020547,0.42363433158193464,10000.0
348,89.59272797028727,0.09292302245135363,929.4996320488578,0.42484493123836886,10000.0
349,89.4917621216902,0.09321142757748087,932.376196452053,0.4260551087926976,10000.0
350,89.39113713662556,0.09349989250892365,935.2534234116407,0.427264864244921,10000.0
351,89.29085301509338,0.09378841724568199,938.1313129276207,0.428474197595039,10000.0
352,89.1909097570936,0.09407700178775584,941.0098649999929,0.4296831088430517,9999.999999999998
353,89.0913073626263,0.09436564613514524,943.8890796287576,0.43089159798895904,9999.999999999998
354,88.99204583169146,0.09465435028785019,946.7689568139148,0.43209966503276115,10000.0
355,88.89312516428903,0.09494311424587067,949.6494965554642,0.4333073099744577,10000.0
356,88.79454536041905,0.09523193800920667,952.5306988534057,0.4345145328140489,10000.0
357,88.69630642008151,0.09552082157785824,955.41256370774,0.4357213335515349,10000.0
358,88.59840834327642,0.09580976495182533,958.2950911184664,0.4369277121869155,10000.0
359,88.50085113000378,0.09609876813110797,961.1782810855852,0.43813366872019066,10000.0
360,88.40363478026359,0.09638783111570615,964.0621336090965,0.43933920315136055,10000.0
361,88.30675929405581,0.09667695390561984,966.9466486889999,0.44054431548042494,10000.0
362,88.21022467138049,0.09696613650084909,969.8318263252958,0.44174900570738407,10000.0
363,88.11403091223761,0.09725537890139388,972.7176665179838,0.4429532738322378,10000.0
364,88.01817801662719,0.09754468110725421,975.6041692670647,0.4441571198549862,10000.0
